highway,geometry,historic,name,name:ca,wikidata,wikipedia,barrier,addr:city,addr:housename,addr:housenumber,addr:postcode,addr:street,entrance,man_made,material,date,wheelchair,fee,name:de,name:fr,name:it,name:ru,name:zh,tourism,description,height,operator,start_date,website,access,building:material,disused,building,military,reservation,ruins,bunker_type,name:es,opening_hours,phone,ele,architect:wikidata,architect:wikipedia,archaeological_site,megalith_type,site_type,source,amenity,bottle,image,image:0,image:1,name:en,historic:civilization,note,wikimedia_commons,level,nodes,surface,government,name:etymology:wikidata,architect,castle_type,contact:email,contact:fax,contact:phone,end_date,name:ko,old_name,area,name:ja,name:pl,addr:province,fee:conditional,alt_name,building:levels,building:levels:underground,designation,roof:orientation,roof:shape,opening_hours:url,stars,contact:website,layer,heritage,heritage:operator,name:he,ref:whc,whc:inscription_date,network,building:shape,building:height,protection_title,protection_title:category,ref:bic,brand,rooms,building:architecture,capacity,ref,bridge,wall,building:use,check_date,ref:ipac,disused:building,construction_year,year_of_construction,brand:wikidata,brand:wikipedia,min_height,ways,office,type,construction_date,building:part,artwork_type,building:colour,email,fixme,facebook,twitter,information
,"POLYGON ((2.1558537 41.3674501, 2.155973 41.3675603, 2.1559378 41.367582, 2.156132 41.3677613, 2.1561867 41.3677276, 2.1561957 41.3677359, 2.1562978 41.3676731, 2.1562896 41.3676655, 2.1563443 41.3676319, 2.1561497 41.3674521, 2.156114 41.367474, 2.1559945 41.3673634, 2.1560413 41.3673333, 2.1560489 41.3673403, 2.1561447 41.3672815, 2.1560414 41.3671861, 2.155946 41.3672447, 2.1559531 41.3672513, 2.15589 41.3672872, 2.1557167 41.3673966, 2.15571 41.3673904, 2.1556165 41.3674479, 2.155719 41.3675427, 2.1558147 41.367484, 2.1558075 41.3674773, 2.1558537 41.3674501))",castle,Palauet Albéniz,Palauet Albéniz,Q3753144,ca:Palauet Albéniz,,,,,,,,,,,,,,,,,,,,,,,,,,,palace,,,,,,,,,,,,,,,,,,,,,,,,,"[6473883829, 6473883859, 6473883841, 6473883834, 6473883869, 6473883850, 6473883881, 6473883873, 6473883864, 6473883874, 6473883857, 6473883848, 6473883865, 6473883872, 6473883844, 6473883883, 6473883862, 6473883853, 6473883838, 6473883875, 6473883835, 6473883870, 6473883876, 6473883854, 6473883877, 6473883829]",,,,,palace,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LINESTRING (2.1758219 41.384315, 2.1757785 41.3843418, 2.1757334 41.3843067, 2.1757592 41.3842873, 2.1756803 41.3842235, 2.1756526 41.3842443, 2.1756308 41.384227, 2.1756092 41.3842098, 2.1756375 41.3841858, 2.175501 41.3840809, 2.1754756 41.3840995, 2.1754694 41.3841042, 2.1754209 41.384139, 2.1754055 41.3841262, 2.1754535 41.3840935, 2.1754335 41.3840786, 2.1754278 41.3840707, 2.1754259 41.3840629, 2.1754263 41.3840553, 2.1754288 41.3840481, 2.1754348 41.3840425, 2.1754432 41.3840366, 2.1754528 41.3840319, 2.1754663 41.3840302, 2.1754488 41.3840168)",citywalls,Muralla Romana,Muralla Romana,Q6928354,ca:Muralla romana de Barcelona,city_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muralla Romana,,,,,,,,,,,,,,,Roman Wall,,,,,"[1995580834, 6007344797, 3105472774, 3105472771, 3105472766, 3105472767, 6061567355, 3105472765, 3105472762, 3105472752, 3105472755, 3105472756, 3105472759, 3105472757, 3105472754, 3105472753, 3105472751, 1995580831, 3105472748, 3105472747, 3105472746, 3105472744, 3105472742, 2264384337, 2264384335]",,,,,,,,,,,,,,,,,,,,,,,,,,,4,mecd,,,,,,,Bien de Interés Cultural,Conjunto histórico,RI-51-0000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1702452 41.369504, 2.1702024 41.369454, 2.1700992 41.3695037, 2.1701419 41.3695537, 2.1702452 41.369504))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[2239841731, 2239841724, 2239841728, 2239841738, 2239841731]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.171041 41.3835899, 2.1711069 41.3836164, 2.1711933 41.3834949, 2.1712023 41.3834822, 2.1712172 41.3834612, 2.1713006 41.3833438, 2.1712405 41.3833173, 2.1712063 41.3833021, 2.1711629 41.3833572, 2.1711364 41.3833425, 2.1710529 41.383296, 2.1710171 41.3832761, 2.1710061 41.3832917, 2.1708727 41.3832377, 2.1708653 41.3832332, 2.1708409 41.3832183, 2.1708258 41.3832091, 2.1707899 41.3831895, 2.170772 41.3831798, 2.1707481 41.3831529, 2.1707467 41.3831513, 2.170713 41.3831139, 2.1706643 41.3831401, 2.1704599 41.3832491, 2.170452 41.383254, 2.1704458 41.383259, 2.17044 41.3832652, 2.1704356 41.3832715, 2.1704331 41.3832793, 2.1704328 41.3832869, 2.1704339 41.3832957, 2.1704369 41.3833025, 2.1704402 41.3833082, 2.1704459 41.3833147, 2.1704509 41.383319, 2.1705626 41.3833859, 2.1706011 41.3834061, 2.1706917 41.3834494, 2.171041 41.3835899))",building,Hotel 1898,,Q5903287,ca:Edifici Tabacs de Filipines,,,,109,,La Rambla,,,,,no,,,,,,,hotel,,,,,http://www.hotel1898.com,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,"[7263156868, 7263156900, 7263156803, 7263156802, 7263154144, 1456755126, 3114542076, 3114542074, 7263154169, 7263154148, 7263156844, 7263156864, 7263154168, 7263154174, 7263156853, 7263154156, 7263154176, 7263156926, 7263154160, 7263156895, 7263154175, 7263156879, 7263156797, 7263156925, 7263156841, 7263156920, 7263154163, 7263156941, 7263154173, 7263156860, 7263156786, 7263156817, 7263156826, 7263156823, 7263156904, 7263156932, 7263156840, 7263156878, 7263156868]",,,,,,,,,,,,,,,,,,8,2,,,,,4,,,,,,,,,,,,,,Núñez i Navarro Hotels,169,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1718826 41.3914578, 2.1719453 41.391459, 2.1719975 41.3914194, 2.1719965 41.3913625, 2.1720348 41.3913912, 2.1720245 41.3913989, 2.1720521 41.3914196, 2.1721475 41.3913478, 2.1720729 41.3912916, 2.1720588 41.3913018, 2.1720211 41.3912734, 2.1719777 41.3913068, 2.1719503 41.3913279, 2.1719407 41.3913207, 2.1718815 41.3913204, 2.1719104 41.391298, 2.1718658 41.3912646, 2.1718239 41.391233, 2.1718176 41.3912283, 2.1718081 41.3912359, 2.1717889 41.3912214, 2.1717809 41.3912273, 2.1717215 41.3911836, 2.1717185 41.3911805, 2.1717363 41.3911673, 2.1716742 41.3911208, 2.1714577 41.3912861, 2.1714471 41.3912972, 2.1714419 41.3913058, 2.1714379 41.3913145, 2.1714364 41.3913191, 2.171435 41.3913254, 2.1714357 41.391456, 2.171437 41.3914651, 2.1714382 41.3914703, 2.1714425 41.3914808, 2.1714449 41.3914848, 2.1714521 41.3914922, 2.1715592 41.3915726, 2.171678 41.3916617, 2.1717256 41.3916258, 2.1717644 41.3915964, 2.1717742 41.3915889, 2.1717546 41.3915742, 2.1718006 41.3915394, 2.1718192 41.3915547, 2.1718986 41.3914945, 2.1719152 41.3914818, 2.1718826 41.3914578))",building,Palace Hotel Barcelona,,Q28844857,ca:Hotel Palace (Barcelona),,,,664,08010,Gran Via de les Corts Catalanes (lateral mar),,,,,,,,,,,,hotel,"Salvador Dalí and his wife Gala once lived in the Royal Suite at El Palace Hotel, which was originally built by famed hotel tycoon César Ritz in 1919 and renamed in 2005. Stories about Dalí and the hotel are numerous; the artist once asked for a horse to",,,,https://www.hotelpalacebarcelona.com,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,"[7605971439, 7605966575, 7605966577, 7605971467, 7605971464, 7605971468, 7605971335, 7605971495, 7605971210, 7605971493, 7605971494, 7605966574, 7605971389, 7605971094, 7605971365, 7605971303, 7605971095, 7605971269, 7605971527, 7605971526, 7605971525, 7605971530, 7605971506, 7605971511, 7605971413, 7605971440, 7605971503, 7605971502, 7605971518, 7605971513, 7605971516, 7605971514, 7605971512, 7605971515, 7605971340, 7605971519, 7605971520, 7605971524, 5268838459, 7605971497, 7605971492, 7605971202, 7605971404, 7605971482, 7605971474, 7605971284, 7605971267, 7605971471, 7605971439]",,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1446695 41.4056596, 2.1447802 41.4056778, 2.1449012 41.4057762, 2.1447618 41.405869, 2.1445854 41.4057168, 2.1446695 41.4056596))",yes,Casa Tosquella,Casa Tosquella,Q11912803,ca:Casa Tosquella,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,"[4711672236, 4711672237, 4711672238, 2355309320, 2355309319, 4711672236]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1519076 41.4035572, 2.1519349 41.4034939, 2.1519841 41.40338, 2.1519788 41.4033775, 2.1518403 41.4033152, 2.15177 41.4034054, 2.1518014 41.4034197, 2.1517459 41.4034962, 2.1517925 41.4035184, 2.1518121 41.403525, 2.1519076 41.4035572))",yes,Can Trilla,Can Trilla,Q18004634,ca:Masia Can Trilla,,,,177,08012,Carrer Gran de Gràcia,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,"[1357211216, 6163491698, 1357211225, 6163491778, 2355309323, 2355309324, 2355309326, 2355309331, 6163491777, 6163491776, 1357211216]",,,,,,,,,,,,,,,,,Masia Trilla,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LINESTRING (2.177082 41.3845141, 2.1771798 41.3844952, 2.1771972 41.3844836)",citywalls,Muralla Romana,Muralla Romana,Q6928354,ca:Muralla romana de Barcelona,city_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muralla Romana,,,,,,,,,,,,,,,Roman Wall,,,,,"[2264354609, 6053180207, 3889098325]",,,,,,,,,,,,,,,,,,,,,,,,,,,4,mecd,,,,,,,Bien de Interés Cultural,Conjunto histórico,RI-51-0000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1193974 41.4244465, 2.1194081 41.4244342, 2.1194238 41.4244254, 2.1194424 41.4244213, 2.1194619 41.4244221, 2.1194799 41.4244278, 2.1194884 41.4244329, 2.1194998 41.4244448, 2.1195052 41.4244589, 2.1195048 41.4244699, 2.1194984 41.4244837, 2.1194871 41.4244945, 2.1194705 41.4245023, 2.1194514 41.4245055, 2.1194369 41.4245045, 2.1194188 41.4244989, 2.1194058 41.4244903, 2.1193961 41.4244775, 2.1193927 41.4244631, 2.1193974 41.4244465))",yes,Edifici Cel,Edifici Cel,Q47170904,ca:Torre de les Aigües de Dos Rius,,Barcelona,,107,08035,Carretera de Vallvidrera al Tibidabo,,water_tower,,,yes,,,,,,,,,35,,1902,http://mnactec.cat/150elements/index.php/company/torre-daigues-de-dos-rius/,,,,yes,,,,,,,,,Q1706291,,,,,,,,,,,,,,,,"[2481709692, 2481709731, 2481709722, 2481709683, 2481709717, 2481709670, 2481709654, 2481709652, 2481709672, 2481709745, 2481709663, 2481709711, 2481709674, 2481709760, 2481709704, 2481709738, 2481709699, 2481709771, 2481709762, 2481709692]",,,,Josep Amargós i Samaranch,,,,,,,,,,,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,,modern,200,,,,,,,,,,,,,,,,,,,,,,,,
,"LINESTRING (2.1776603 41.3841585, 2.1776801 41.3841741, 2.177693 41.3841844, 2.1776792 41.3841944, 2.1776636 41.3842054, 2.1775927 41.3842561, 2.1776194 41.3842784, 2.1775781 41.3843093, 2.1775437 41.3843351, 2.1775137 41.3843126, 2.177483 41.3843346, 2.1773796 41.3844088)",citywalls,Muralla Romana,Muralla Romana,Q6928354,ca:Muralla romana de Barcelona,city_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muralla Romana,,,,,,,,,,,,,,,Roman Wall,,,,,"[2264354588, 2503270770, 2544790038, 2264354591, 6053180231, 2264354593, 2264354595, 6053180210, 2264354599, 2264354596, 6053180209, 2544790032]",,,,,,,,,,,,,,,,,,,,,,,,,,,4,mecd,,,,,,,Bien de Interés Cultural,Conjunto histórico,RI-51-0000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LINESTRING (2.1780347 41.3839796, 2.1780045 41.3839545, 2.1780021 41.3839559, 2.1779831 41.383943, 2.1779686 41.383953, 2.1779449 41.3839698, 2.1779746 41.3839927, 2.1779152 41.3840293, 2.1778898 41.3840097, 2.177835 41.3840464, 2.1778012 41.384069, 2.1778239 41.384089, 2.1777672 41.3841259, 2.1777434 41.3841071, 2.1777054 41.3841348, 2.1776984 41.3841299, 2.1776603 41.3841585)",citywalls,Muralla Romana,Muralla Romana,Q6928354,ca:Muralla romana de Barcelona,city_wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muralla Romana,,,,,,,,,,,,,,,Roman Wall,,,,,"[3105500794, 3105500791, 3105500792, 3105500789, 6053180246, 3105500793, 3105500795, 2264354581, 2264354578, 6053180208, 2264354583, 2264354584, 2264354586, 2264354585, 3105500798, 3105500797, 2264354588]",,,,,,,,,,,,,,,,,,,,,,,,,,,4,mecd,,,,,,,Bien de Interés Cultural,Conjunto histórico,RI-51-0000417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1669729 41.3802105, 2.1667088 41.3800366, 2.1665205 41.3801804, 2.1664717 41.3802191, 2.1665563 41.3802844, 2.1667033 41.3804009, 2.1667898 41.3803405, 2.1669729 41.3802105))",castle,,,Q20104635,ca:Casa Erasme de Gònima,,Barcelona,,106,,Carrer del Carme,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,Ajuntament de Barcelona - CartoBCN (@2013-11-10),,,,,,,,,,,"[2560078257, 2560077992, 2560078195, 2560078274, 2560078412, 2560078735, 2560078567, 2560078257]",,,,,palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1410287 41.4366604, 2.1410135 41.4366736, 2.1410082 41.4366906, 2.1410141 41.4367075, 2.1410298 41.4367204, 2.1410414 41.4367236, 2.1410356 41.4367385, 2.1410283 41.4367369, 2.1410048 41.4367969, 2.1410472 41.4368062, 2.1410312 41.4368472, 2.1410258 41.4368453, 2.1410078 41.436848, 2.1409954 41.4368582, 2.1409933 41.4368718, 2.1410023 41.4368838, 2.141019 41.4368895, 2.141037 41.4368868, 2.1410494 41.4368766, 2.1410498 41.4368742, 2.1411852 41.4369041, 2.1411724 41.4369367, 2.1413216 41.4369696, 2.1413348 41.436936, 2.1414647 41.4369646, 2.1414631 41.4369747, 2.1414721 41.4369866, 2.1414888 41.4369924, 2.1415068 41.4369896, 2.1415192 41.4369795, 2.1415213 41.4369658, 2.1415123 41.4369539, 2.141498 41.436949, 2.1415151 41.4369055, 2.1416983 41.4369459, 2.1416965 41.4369503, 2.1418176 41.436977, 2.14182 41.436971, 2.1418302 41.4369724, 2.141836 41.436971, 2.1418407 41.4369684, 2.1418482 41.4369615, 2.1418531 41.4369533, 2.1418559 41.4369437, 2.1418561 41.4369337, 2.1418541 41.4369288, 2.1418499 41.436924, 2.1418444 41.4369217, 2.1418397 41.4369205, 2.1418442 41.4369092, 2.141819 41.4369036, 2.1418175 41.4369075, 2.1417471 41.436892, 2.1417487 41.436888, 2.1417241 41.4368826, 2.1417194 41.4368944, 2.1415723 41.436862, 2.1415812 41.4368395, 2.1415888 41.4368416, 2.1416119 41.4368393, 2.1416309 41.4368291, 2.1416414 41.4368136, 2.1416411 41.4367961, 2.14163 41.4367808, 2.1416106 41.436771, 2.1415875 41.4367692, 2.1415658 41.4367756, 2.1415506 41.4367888, 2.141549 41.4367942, 2.141479 41.4367787, 2.1414595 41.4368285, 2.1413573 41.436806, 2.1413617 41.436795, 2.1412585 41.4367722, 2.1412535 41.4367851, 2.1411514 41.4367626, 2.1411712 41.4367123, 2.1411043 41.4366976, 2.141104 41.4366809, 2.1410929 41.4366656, 2.1410735 41.4366558, 2.1410504 41.436654, 2.1410287 41.4366604))",castle,Palau de les Heures,Palau de les Heures,Q11939867,ca:Palau de les Heures,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[5982542852, 5982542844, 5982542845, 5982542846, 5982542847, 5982542809, 2674742178, 2674742181, 2674742216, 2674742224, 5982542815, 5982542817, 5982542818, 5982542819, 5982542820, 5982542821, 5982542822, 5982542823, 5982542824, 5982542816, 2674742268, 2674742243, 2674742264, 2674742281, 5982542814, 5982542825, 5982542826, 5982542827, 5982542828, 5982542829, 5982542830, 5982542831, 5982542813, 2674742272, 2674742277, 2674742284, 2674742293, 5982542842, 5982542838, 5982542833, 5982542839, 5982542835, 5982542841, 5982542836, 5982542840, 5982542834, 5982542837, 5982542832, 5982542843, 2674742275, 5982542865, 5982542864, 5982542863, 5982542866, 2674742249, 2674742255, 2674742241, 5982542812, 5982542853, 5982542860, 5982542854, 5982542857, 5982542855, 5982542861, 5982542856, 5982542858, 5982542862, 5982542859, 5982542811, 2674742196, 2674742228, 2674742222, 2674742210, 2674742187, 2674742207, 2674742184, 2674742174, 5982542810, 5982542848, 5982542849, 5982542850, 5982542851, 5982542852]",,,,,palace,,,,,,,,,,,,Casa Gallart,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1366397 41.3742346, 2.1366642 41.3741755, 2.1368194 41.374234, 2.1367788 41.3742919, 2.1367131 41.3742817, 2.1366397 41.3742346))",building,Torre del Rellotge,Torre del Rellotge,Q18008487,ca:Torre del Rellotge (Sants),,,,,,,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,File:Casa_rellotge.JPG,,"[2694672126, 2694672127, 2694672129, 2694672132, 2701125899, 2694672126]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1406939 41.3780521, 2.1406734 41.3780428, 2.1406495 41.3780433, 2.1406298 41.3780535, 2.1406205 41.37807, 2.1406245 41.3780877, 2.1406407 41.3781009, 2.1406638 41.3781054, 2.1406866 41.3780999, 2.1407017 41.378086, 2.1407044 41.3780682, 2.1406939 41.3780521))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070475, 3104070470, 3104070472, 3104070477, 3104070490, 3104070507, 3104070516, 3104070518, 3104070514, 3104070506, 3104070487, 3104070475]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1417276 41.3783, 2.1417071 41.3782907, 2.1416832 41.3782912, 2.1416635 41.3783014, 2.1416542 41.3783179, 2.1416582 41.3783356, 2.1416744 41.3783488, 2.1416975 41.3783533, 2.1417203 41.3783478, 2.1417354 41.3783339, 2.1417381 41.3783161, 2.1417276 41.3783))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070583, 3104070573, 3104070575, 3104070586, 3104070613, 3104070640, 3104070654, 3104070656, 3104070652, 3104070639, 3104070609, 3104070583]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1404997 41.3779316, 2.1404792 41.3779223, 2.1404553 41.3779228, 2.1404356 41.377933, 2.1404263 41.3779495, 2.1404303 41.3779672, 2.1404465 41.3779804, 2.1404696 41.3779849, 2.1404924 41.3779794, 2.1405075 41.3779655, 2.1405102 41.3779477, 2.1404997 41.3779316))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070328, 3104070324, 3104070326, 3104070430, 3104070441, 3104070457, 3104070465, 3104070467, 3104070463, 3104070456, 3104070438, 3104070328]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1414248 41.378466, 2.1414043 41.3784567, 2.1413804 41.3784572, 2.1413607 41.3784674, 2.1413514 41.3784839, 2.1413554 41.3785016, 2.1413716 41.3785148, 2.1413947 41.3785193, 2.1414175 41.3785138, 2.1414326 41.3784999, 2.1414353 41.3784821, 2.1414248 41.378466))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070661, 3104070657, 3104070659, 3104070663, 3104070674, 3104070690, 3104070698, 3104070700, 3104070696, 3104070689, 3104070671, 3104070661]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1402879 41.3778281, 2.1402674 41.3778188, 2.1402435 41.3778193, 2.1402238 41.3778295, 2.1402145 41.377846, 2.1402185 41.3778637, 2.1402347 41.3778769, 2.1402578 41.3778814, 2.1402806 41.3778759, 2.1402957 41.377862, 2.1402984 41.3778442, 2.1402879 41.3778281))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070284, 3104070280, 3104070282, 3104070286, 3104070297, 3104070313, 3104070321, 3104070323, 3104070319, 3104070311, 3104070294, 3104070284]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1410872 41.3782917, 2.1410667 41.3782824, 2.1410428 41.3782829, 2.1410231 41.3782931, 2.1410138 41.3783096, 2.1410178 41.3783273, 2.141034 41.3783405, 2.1410571 41.378345, 2.1410799 41.3783395, 2.141095 41.3783256, 2.1410977 41.3783078, 2.1410872 41.3782917))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,"[3104070577, 3104070569, 3104070571, 3104070579, 3104070596, 3104070631, 3104070647, 3104070650, 3104070646, 3104070626, 3104070593, 3104070577]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1497006 41.373951, 2.1495993 41.3739118, 2.1495479 41.3739867, 2.1496492 41.3740258, 2.1497006 41.373951))",yes,Torres Venecianes,Torres Venecianes,Q7919738,ca:Torres Venecianes,,,,,,,,,,,,,,,Torri Veneziane,Венецианские башни,,,,47,,,,,,,yes,,,,,Torres Venecianas,,,,,,,,,,,,,,,Venetian Towers,,,,,"[3105118274, 3105118270, 3105118280, 3105118284, 3105118274]",,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.150047 41.3740849, 2.1499458 41.374046, 2.1498946 41.3741206, 2.1499956 41.3741598, 2.150047 41.3740849))",yes,Torres Venecianes,Torres Venecianes,Q7919738,ca:Torres Venecianes,,,,,,,,,,,,,,,Torri Veneziane,Венецианские башни,,,,47,,,,,,,yes,,,,,Torres Venecianas,,,,,,,,,,,,,,,Venetian Towers,,,,,"[3105118291, 3105118286, 3105118299, 3105118305, 3105118291]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1768618 41.3873438, 2.1768852 41.3873714, 2.1771153 41.3875764, 2.1772899 41.3874665, 2.1773614 41.3874199, 2.1774189 41.3873741, 2.1774626 41.3873502, 2.1775154 41.3873214, 2.1774305 41.3872263, 2.1772889 41.3870926, 2.1772091 41.3871491, 2.1772045 41.3871465, 2.1771991 41.3871502, 2.1771847 41.38716, 2.1771475 41.3871853, 2.1771282 41.3871689, 2.1770443 41.3872279, 2.1770561 41.3872396, 2.1770644 41.3872496, 2.1770147 41.3872727, 2.1769476 41.3873039, 2.1769307 41.3873118, 2.1768989 41.3873265, 2.1768618 41.3873438))",castle,Escola Cervantes,Escola Cervantes,Q47170793,ca:Palau Dou,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,5,"[3889101393, 3889101398, 3889101411, 3889101407, 3889101405, 3889101401, 7694550108, 3889101390, 3889101375, 3889101363, 7694550203, 7694550136, 7694550114, 7694550100, 3889101373, 3889101370, 3889101376, 7694550225, 3889101379, 7694511169, 7694511152, 7694511144, 7694511134, 3889101393]",,,Q5682,,palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8001789,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1793693 41.4353511, 2.1794351 41.4354443, 2.1794744 41.4354312, 2.1794826 41.4354463, 2.1795539 41.4354408, 2.1797038 41.4353655, 2.1795914 41.4352216, 2.1794233 41.4352908, 2.1794443 41.4353182, 2.1793693 41.4353511))",building,Can Valent,Can Valent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[3889550694, 3889550698, 3889550696, 3889550699, 3889550697, 3889550695, 3889550691, 3889550692, 3889550693, 3889550694]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LINESTRING (2.1899282 41.4082702, 2.1901199 41.4088616)",aqueduct,,,,,wall,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,"[4271656191, 4271656257]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1904877 41.4091132, 2.1902737 41.4091512, 2.1903256 41.4093155, 2.1905396 41.4092774, 2.190536 41.409266, 2.1905198 41.4092148, 2.1904877 41.4091132))",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ruins,,,,,,,,,,,,,,,,,,,,,,,,,"[4271656275, 4271656276, 4247058558, 4271656278, 4275823652, 4275823646, 4271656275]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"POLYGON ((2.1977038 41.4206848, 2.1977433 41.4207119, 2.197867 41.420622, 2.1978284 41.4205949, 2.1977121 41.4205137, 2.1975785 41.4205985, 2.1977038 41.4206848))",yes,Can Cadena,Can Cadena,,,,,,36,08033,Carrer del Fondal de Sant Martí,,,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,,,,,,,,,,,,,,,,"[6276316891, 6276315750, 6276315758, 6276315776, 4281685228, 4281685242, 6276316891]",,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
